siren,nom_pappers,classification_finale,source_classification,objet_social,code_naf,libelle_naf,forme_juridique,adresse_ligne_1,code_postal,ville,latitude,longitude,enseigne,nom_commercial,date_creation,entreprise_cessee,date_cessation,nb_etablissements_actifs,nb_etablissements_total,procedure_collective_en_cours,derniere_procedure_type,siret_siege,has_panel_data,flag_multi_etabs
504568346,LOCLA,LS_INITIAL,A1_pure_or_probable,"L'exploitation de tous fonds de commerce de laverie automatique, nettoyage, peinturerie, stoppage, dégraissage et pressing de vêtements.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",33 RUE DES ROSIERS,93400,SAINT-OUEN-SUR-SEINE,48.906156999801844,2.336069000002752,LOCLA,LOCLA,2008-06-05,False,,2,2,False,,50456834600010,1,1
323903930,SELNAS,LS_INITIAL,A1_pure_or_probable,LAVERIE AUTOMATIQUE.,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",88 B RUE RIQUET,75018,PARIS,48.890081999801815,2.361898000002645,,,1982-02-12,False,,3,4,False,,32390393000010,1,1
341279065,HA LAVAGE,LS_INITIAL,A1_pure_or_probable,Laverie automatique et prestations de services lies à la logistique,96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",45 RUE FELIX FAURE,92700,COLOMBES,48.91466999980184,2.257350000003078,,SALON LAVOIR GTI,1987-05-01,False,,2,7,False,,34127906500021,1,1
428687941,CL LAVERIE LIBRE SERVICE,LS_INITIAL,A1_pure_or_probable,Laverie en libre service,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",117 RUE DE CRIMEE,75019,PARIS,48.88559699980185,2.3824620000025583,,,2000-01-03,False,,0,1,False,,42868794100016,1,0
530327063,VDLJ,LS_INITIAL,A1_pure_or_probable,Laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",80 RUE DE GERGOVIE,75014,PARIS,48.831844999801845,2.317629000002825,,,2011-02-01,False,,1,1,False,,53032706300018,1,0
514335546,SARL B.S,LS_INITIAL,A1_pure_or_probable,Laverie automatique libre service.,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",3 RUE DE BRETAGNE,92140,CLAMART,48.78347799980187,2.2438460000031264,WASH N' DRY,,2009-09-01,False,,1,1,False,,51433554600016,1,0
391591914,NAKI NET,LS_INITIAL,A1_pure_or_probable,"EXPLOITATION DE LAVERIE AUTOMATIQUE EN LIBRE SERVICE, ACTIVITE DE RETOUCHES EN TOUS GENRES COUTURES ET VENTES DE TOUS TISSUS ET ACCESSOIRES Y ATTACHES",96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",44 RUE PELLEPORT,75020,PARIS,48.86498999980184,2.4040600000024686,,NAKI'NET,1993-05-20,False,,3,4,False,,39159191400018,1,1
422883389,LAVERIE ORNANO,LS_INITIAL,A1_pure_or_probable,Blanchisserie-teinturerie de détail,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",67 BOULEVARD ORNANO,75018,PARIS,48.89665699980181,2.3452000000027136,,,1998-11-04,False,,0,1,False,,42288338900013,1,0
801819657,WASH HOUDRY,LS_INITIAL,A1_pure_or_probable,Laverie libre-service.,96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",16 RUE PERDONNET,75010,PARIS,48.88346899980183,2.3604090000026505,WASH AND DRY,,2014-05-01,False,,1,1,False,Liquidation judiciaire,80181965700017,1,0
792378572,JLS CONCEPT,LS_INITIAL,A1_pure_or_probable,"Exploitation de laveries automatiques, vente de matériels de laverie et pressing, import export de tous biens, achat vente de véhicules, cycles, machines, mobiliers.",96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",7 RUE DE PATAY,75013,PARIS,48.82457999980185,2.3759690000025824,,JLS CONCEPT,2013-04-03,False,,8,9,False,,79237857200020,1,1
414353235,SLAV SOCIETE LAVERIES AUTOMAT VERSAILLAISES,LS_INITIAL,A1_pure_or_probable,Laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",10 RUE PHILIPPE DE DANGEAU,78000,VERSAILLES,48.803529999801846,2.1334250000035846,,,1997-11-01,False,,11,15,False,,41435323500032,1,1
353562838,JCPF,LS_INITIAL,A1_pure_or_probable,LAVERIE LIBRE SERVICE,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",10 RUE DE JOUY,75004,PARIS,48.854917999801835,2.3582810000026577,,J.C.P.F.,1990-02-15,False,,1,1,False,,35356283800014,1,0
844586909,LAV MJL,LS_INITIAL,A1_pure_or_probable,Laverie et pressing en libre-service.,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",63 RUE DES BATIGNOLLES,75017,PARIS,48.88621899980184,2.318670000002823,,,2018-12-12,False,,1,1,False,,84458690900013,1,0
833733538,RELAIS DE MARNE ET SEINE,LS_INITIAL,A1_pure_or_probable,"Laverie automatique, vente de tous produits annexes",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",18 RUE JEAN JAURES,94240,L'HAY-LES-ROSES,48.77875299980187,2.335473000002747,LAVERIE,RELAIS DE MARNE ET SEINE,2018-01-08,False,,8,9,False,,83373353800031,1,1
792403438,T.J.S,LS_INITIAL,A1_pure_or_probable,"Exploitation de laveries automatiques, vente de matériels de laverie et pressing, import export de tous biens, achat vente de véhicules, cycles, machines, mobiliers",96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",44 RUE DE LA TOMBE ISSOIRE,75014,PARIS,48.83059699980182,2.334268000002755,,T.J.S.,2013-04-03,False,,5,5,False,,79240343800015,1,1
831080429,AU PETIT LAVOIR,LS_INITIAL,A1_pure_or_probable,"Pressing, blanchisserie, laverie à domicile",96.01B,Blanchisserie-teinturerie de détail,"EURL, entreprise unipersonnelle à responsabilité limitée",14 RUE DE MONTYON,75009,PARIS,48.873154999801834,2.3439230000027185,,,2017-07-18,False,,1,2,True,Liquidation judiciaire,83108042900028,1,0
353735343,LAV'STORY,LS_INITIAL,A1_pure_or_probable,"LAVERIE AUTOMATIQUE, BLANCHISSERIE, LAVAGE, REPASSAGE, TRANSPORTS DE LINGE PRESSING, TRAITEMENT DU LINGE COUTURE RETOUCHES. EXPLOITATION D'APPAREILS DE DISTRIBUTION AUTOMATIQUE. TOUTE ACTIVITEDE LIBRE-SERVICE - AGENCE COMMERCIALE",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",14 RUE LETORT,75018,PARIS,48.89428399980185,2.3432190000027218,,,1990-02-21,False,,5,7,False,,35373534300017,1,1
798191847,SM LAVAGE,LS_INITIAL,A1_pure_or_probable,Laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",56 RUE DU CHATEAU LANDON,75010,PARIS,48.88393799980185,2.3645330000026323,,,2013-10-08,False,,2,3,False,,79819184700028,1,1
