siren,nom_entreprise,chiffre_affaires,resultat,annee_finances,entreprise_cessee,classification,matched_google_lavoir,classification_v2
851691782,ANAIS PRESSING SERVICES,50266,-10165.0,2019,0,PRESSING,False,PRESSING
404860900,S M N,54709,-2032.0,2020,0,AMBIGU,False,AMBIGU
534290952,SALIBA,259541,176499.0,2022,0,AMBIGU,False,AMBIGU
391591914,NAKI NET,197690,4461.0,2015,0,AMBIGU,True,LS_PROBABLE
422883389,LAVERIE ORNANO,33130,1100.0,2017,0,LS_PURE,True,LS_PURE
844394213,TEINTURERIE STRADEL'S,415655,34786.0,2023,0,PRESSING,False,PRESSING
801819657,WASH HOUDRY,37713,223.0,2019,0,LS_PURE,False,LS_PURE
539970574,FAMILY PRESSING,313708,59256.0,2021,0,PRESSING,False,PRESSING
819289539,AC CLEAN,151745,27071.0,2024,0,AMBIGU,False,AMBIGU
532491602,OZVERI,17735,11296.0,2021,0,AMBIGU,False,AMBIGU
503246738,SUPERCLEAN,143618,-3044.0,2024,0,AMBIGU,False,AMBIGU
792378572,JLS CONCEPT,185009,33301.0,2022,0,AMBIGU,True,LS_PROBABLE
572150159,SOCIETE AMSEC,278351,6516.0,2024,0,AMBIGU,False,AMBIGU
414353235,SLAV SOCIETE LAVERIES AUTOMAT VERSAILLAISES,322721,-13197.0,2024,0,LS_PURE,True,LS_PURE
439946039,SARL AVYAS,52940,463.0,2024,0,AMBIGU,False,AMBIGU
353562838,JCPF,47211,9122.0,2024,0,AMBIGU,True,LS_PROBABLE
844586909,LAV MJL,96892,31263.0,2024,0,LS_PURE,True,LS_PURE
511377509,EMILIE PRESSING CLEAN,63808,-3872.0,2024,0,PRESSING,False,PRESSING
833733538,RELAIS DE MARNE ET SEINE,264787,7381.0,2024,0,AMBIGU,True,LS_PROBABLE
792403438,T.J.S,87980,7720.0,2021,0,AMBIGU,True,LS_PROBABLE
488868100,MODERN PRESSING,57068,6253.0,2024,0,PRESSING,False,PRESSING
520691825,PERSHING SERVICES,121261,20427.0,2016,0,AMBIGU,False,AMBIGU
830797189,CLEAN CORNER,169519,26300.0,2023,0,AMBIGU,False,AMBIGU
831080429,AU PETIT LAVOIR,175099,-2682.0,2022,0,LS_PURE,False,LS_PURE
321776585,DICKY,64611,15001.0,2017,0,AMBIGU,False,AMBIGU
853005601,MT PRESSING,20328,-89.0,2020,0,PRESSING,False,PRESSING
353735343,LAV'STORY,208501,14283.0,2018,0,LS_PURE,True,LS_PURE
522964287,STEPHEN PRESSING,116511,-18505.0,2024,0,PRESSING,False,PRESSING
348959552,IMOBEL,295006,11716.0,2024,0,AMBIGU,False,AMBIGU
812177053,SOCIETE MEILIN,26850,6109.0,2024,0,AMBIGU,False,AMBIGU
810503789,HAIDER ET PETIT FILS,184279,3510.0,2023,0,AMBIGU,False,AMBIGU
798191847,SM LAVAGE,81238,-16894.0,2024,0,LS_PURE,True,LS_PURE
510445448,NORAYOUSSEF,67816,-3377.0,2022,0,AMBIGU,False,AMBIGU
521306118,SEKENET PLACE DE CLICHY,273687,22107.0,2022,0,PRESSING,False,PRESSING
308396100,POUYANNE LE MEDECIN DE LA ROBE,413075,48291.0,2019,0,AMBIGU,False,AMBIGU
887716553,ABDEYOU,12276,-7489.0,2020,0,AMBIGU,False,AMBIGU
419705900,B M SERVICES,244577,3806.0,2021,0,AMBIGU,True,LS_PROBABLE
448419887,PRESSING LE LUXEMBOURG,161271,6505.0,2018,0,PRESSING,False,PRESSING
452394661,LA MAIN D OR,46998,-22502.0,2019,0,AMBIGU,False,AMBIGU
838759389,CSR,46241,9417.0,2024,0,AMBIGU,True,LS_PROBABLE
835263112,LAVERIE O'CLEAN,16658,133.0,2022,0,LS_PURE,False,LS_PURE
438659070,CHRONO CLEAN,224573,546.0,2024,0,AMBIGU,False,AMBIGU
810592147,GAMED PRESSING OSNY,182263,7406.0,2017,0,PRESSING,False,PRESSING
