siren,nom,annee,chiffre_affaires,resultat,marge_brute,excedent_brut_exploitation,resultat_exploitation,marge_nette,taux_marge_EBITDA,taux_marge_operationnelle,dettes_financieres,tresorerie,capacite_autofinancement,valeur_ajoutee,salaires_charges_sociales,BFR,ratio_endettement,autonomie_financiere,rentabilite_economique,rentabilite_fonds_propres,effectif
483512414,LAV'TOUT BLANC,2017,54324,4711,53017,6219,3553,8.7,11.4,6.5,62172,453,7377,23673,15763,-16031,-27.8,-2.6,5.6,-212,1
483512414,LAV'TOUT BLANC,2016,57793,15766,0,0,0,,,,0,0,0,0,0,0,,,,,1
483512414,LAV'TOUT BLANC,2015,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,0
911470193,2A3M LAVERIE,2024,45750,170,45750,1200,200,0.4,2.6,0.4,,9260,1170,1927,,-44077,-2.1,9.3,0.3,3.8,
911470193,2A3M LAVERIE,2023,43016,2595,0,0,0,,,,,0,0,0,,0,,,,,
419088521,JULICE LAVERIE,2018,203368,30555,199608,46820,36496,15,23,17.9,9871,45382,40879,52764,4697,-16767,-0.1,88.9,10.3,11.6,
419088521,JULICE LAVERIE,2017,190013,51495,186550,66907,58045,27.1,35.2,30.5,0,46998,60357,72654,3677,-16507,-0.2,90.5,16.5,18.2,
419088521,JULICE LAVERIE,2016,195772,89971,192177,111156,111156,43.9,56.8,56.8,9063,82808,85958,60983,-40223,-34157,-0.3,85.1,25,29.4,
419088521,JULICE LAVERIE,2015,197187,9264,193068,10218,8969,4.7,5.2,4.5,4,18354,10513,55325,37610,-64382,-0.1,75,3.4,4.5,
821614450,LAVERIE SAINT PETERSBOURG,2021,27012,-3388,26677,-2603,-3388,-12.5,-9.6,-12.5,7946,90,-2603,-742,,-10952,3.2,11.5,-15.7,-137,
821614450,LAVERIE SAINT PETERSBOURG,2020,31053,-2818,29412,-694,-2818,-9.1,-2.2,-9.1,8237,90,-694,-3664,,-8057,1.4,26.3,-12.6,-48.1,
821614450,LAVERIE SAINT PETERSBOURG,2019,34468,3178,33460,4428,2304,9.2,12.8,6.7,12722,1467,5302,5274,,-4260,1.3,31,11.3,36.6,
821614450,LAVERIE SAINT PETERSBOURG,2018,26258,-4711,25198,-3627,-5749,-17.9,-13.8,-21.9,,880,-2587,-764,1963,-21333,-0.2,19.4,-16.6,-85.6,
821614450,LAVERIE SAINT PETERSBOURG,2017,33505,6344,32623,9506,7464,18.9,28.4,22.3,22656,9448,8386,10138,,-4657,1.3,26.4,16.4,62.1,
821614450,LAVERIE SAINT PETERSBOURG,2016,19322,1870,19322,3539,2200,9.7,18.3,11.4,29649,8034,3209,3656,,-4015,5.6,10.1,4.9,48.3,
448762740,STAR NET,2022,91302,1044,90566,7288,4005,1.1,8,4.4,5752,2240,4327,8014,,-38992,0.1,42,0.8,1.9,
448762740,STAR NET,2021,101011,1546,98091,7544,4261,1.5,7.5,4.2,9057,2658,4829,8300,,-40431,0.1,45.8,1.3,2.8,
448762740,STAR NET,2020,104022,21109,0,0,0,,,,0,0,0,0,,0,,,,,
448762740,STAR NET,2019,133752,29556,133752,34775,33045,22.1,26,24.7,280,5263,31285,36691,,-73180,-0.2,26.5,24.1,91,
448762740,STAR NET,2018,138362,7755,140802,16140,15237,5.6,11.7,11,4796,381,8652,29765,15454,-95089,1.5,2.6,6.9,264.1,1
448762740,STAR NET,2017,123759,-20524,123759,-13894,-15778,-16.6,-11.2,-12.7,9500,,-18647,11124,23152,-89984,-2,-4.7,-20.1,426.1,2
448762740,STAR NET,2016,142192,-16753,152844,-13952,-15821,-11.8,-9.8,-11.1,,1868,-14884,53642,77194,-111328,-0.1,11.4,-12.2,-106.7,
448762740,STAR NET,2015,121602,2229,142552,4904,3268,1.8,4,2.7,2634,201,3865,27899,42734,-91640,0.1,24.8,1.7,6.9,
491988358,LAVERIE ARDJOUNE,2018,204399,3191,195239,26419,3275,1.6,12.9,1.6,75151,17254,26335,72763,44979,-164787,0.5,27.9,0.8,2.9,
491988358,LAVERIE ARDJOUNE,2017,171748,8733,173354,32215,9651,5.1,18.8,5.6,19521,22531,31297,55820,21199,-141849,0,35.2,2.9,8.1,
491988358,LAVERIE ARDJOUNE,2016,146415,7982,0,0,0,,,,0,0,0,0,0,0,,,,,
752062711,LAVOIR MODERNE PARIS,2020,459532,-1735875,437530,-1556588,-1567712,-377.7,-338.7,-341.2,3311322,1118,-1726206,-637844,891667,-2001227,-0.6,-653.4,-220.3,33.7,41
752062711,LAVOIR MODERNE PARIS,2019,675188,-1568971,679198,-1502494,-1525600,-232.4,-222.5,-226,2301837,501,-1537202,-363878,1103737,-1281724,-0.7,-482.8,-221.9,46,41
752062711,LAVOIR MODERNE PARIS,2018,521394,-511387,758856,-461806,-493614,-98.1,-88.6,-94.7,1793468,549,-479579,-67974,643362,-223360,-1,-399.4,-110.7,27.7,0
331928713,SSM SOC SERVICES DU MONT,2022,32478,2342,29643,2343,2337,7.2,7.2,7.2,45371,11719,2348,2453,,2554,-2.5,-42.2,7.3,-17.4,
331928713,SSM SOC SERVICES DU MONT,2021,30723,913,29498,3143,3143,3,10.2,10.2,49371,13376,913,3259,,2560,-2.3,-47.1,2.7,-5.8,
331928713,SSM SOC SERVICES DU MONT,2020,22834,-2687,21580,-2689,-2689,-11.8,-11.8,-11.8,45371,9586,-2687,-2535,,2554,-2.1,-58.4,-9.4,16.1,
331928713,SSM SOC SERVICES DU MONT,2019,35587,7593,33541,7600,7592,21.3,21.4,21.3,45371,12273,7601,7671,,2554,-2.4,-44.8,24.2,-54.1,
331928713,SSM SOC SERVICES DU MONT,2018,31814,912,29927,1313,1313,2.9,4.1,4.1,50371,9680,912,1523,,2560,-1.9,-75.3,3.2,-4.2,
331928713,SSM SOC SERVICES DU MONT,2017,30822,4783,28736,5125,5119,15.5,16.6,16.6,50371,8867,4789,5233,,2560,-1.8,-81,17.2,-21.2,
