idx,gmaps_name,gmaps_lat,gmaps_lng,gmaps_addr,statut,n_candidats,siren_retenu,nom_retenu,adr_retenue,candidats_autres,flags
64,Laverie automatique Le lavoir,48.8825611,2.3410432,"106 Blvd Marguerite de Rochechouart, 75018 Paris, France",MATCHE_PROXIMITE,1,978965085,LAV AND DRY,106 BD ROCHECHOUART 75018,,NOUVEAU
65,Ménil' Lav,48.8691006,2.3917449,"75020 Paris, France",MATCHE_PROXIMITE,1,539015735,SDJ,92 RUE DE MENILMONTANT 75020,,DEJA_MATCHE_AILLEURS
66,Ltce Services,48.8856369,2.3826842,"75019 Paris, France",MATCHE_PROXIMITE,2,428687941,CL LAVERIE LIBRE SERVICE,117 RUE DE CRIMEE 75019,414353235:SLAV SOC LAVERIES AUTOMAT VERSAILLAISES,MULTI_CANDIDAT; NOUVEAU
67,C'net La Tour,48.8595084,2.2829339,"26 Rue de la Tour, 75116 Paris, France",NON_MATCHE,0,,,,,
68,Laverie Pressing Retouche,48.892643,2.326162,"Laverie -Pressing -Retouche, 64 Rue Guy Môquet, 75017 Paris, France",MATCHE_PROXIMITE,1,503135527,FEI DA,64 RUE GUY MOQUET 75017,,NOUVEAU
69,Wash’n dry,48.8425253,2.2193013,,MATCHE_PROXIMITE,1,818100109,LA LAVANDIERE,7 RUE DE L'EGLISE 92210,,NOUVEAU
70,Laverie Adam,48.8246491,2.3574628,"Av. d&#x27;Italie, 75013 Paris, France",MATCHE_PROXIMITE,2,752410555,THAI MINH,7 RUE MOULIN DE LA POINTE 75013,989146154:BLANC EXPRESS,MULTI_CANDIDAT; NOUVEAU
71,Lavotronic,48.8777834,2.3477232,"16 Rue de Bellefond, 75009 Paris, France",MATCHE_EXACT,1,529440372,LAVOTRONIC,16 RUE ELEONORE DE BELLEFOND 75009,,DEJA_MATCHE_AILLEURS
72,PRESSING TEINTURERIE,48.8214984,2.3041635,"2 rue Béranger ( angle, 58 Av. Pierre Larousse, 92240 Malakoff, France",MATCHE_PROXIMITE,3,939124475,LAVERIE LAROUSSE,52 AV PIERRE LAROUSSE 92240,502831555:YLEAN | 101053098:TTP TIME TO PRESSING,MULTI_CANDIDAT; NOUVEAU
73,PradoWash,48.8700682,2.3536252,"7 Pass. du Prado, 75010 Paris, France",MATCHE_PROXIMITE,1,498262039,EUROPE TEINTURE,14 RUE FBG ST DENIS 75010,,NOUVEAU
74,Laverie automatique,48.8544913,2.2687366,"Rue Serge Prokofiev, 75016 Paris, France",MATCHE_PROXIMITE,1,389487778,PAVESIO SARL,58 AV MOZART 75016,,NOUVEAU
75,Laverie SBS,48.8878209,2.3600539,,MATCHE_PROXIMITE,1,377823844,NMJP,50 RUE MARX DORMOY 75018,,DEJA_MATCHE_AILLEURS
76,WAVE WASH Laverie automatique Laundromat,48.8687683,2.3529745,"19 Rue Blondel, 75002 Paris, France",NON_MATCHE,0,,,,,
77,Billy Wash Lavomatic,48.8783896,2.34253,"2 Rue de l&#x27;Agent Bailly, 75009 Paris, France",MATCHE_EXACT,2,837898204,BILLY WASH,15 RUE RODIER 75009,339796559:BSCB,MULTI_CANDIDAT; NOUVEAU
