siren,nom_orig,nom_pappers,objet_social,code_naf,libelle_naf,forme_juridique,date_creation,entreprise_cessee,date_cessation,adresse_ligne_1,complement_adresse,code_postal,ville,latitude,longitude,enseigne,nom_commercial,siret_siege,nb_etablissements_actifs,nb_etablissements_total,procedure_collective_en_cours,derniere_procedure_type,classification_finale,source_classification
881351779,AC AQUA CLEAN,AC AQUA CLEAN,"Teinturerie, pressing, blanchisserie, laverie, retouche, ventes savons écologiques et matériels de pressing, reprographie.",96.01B,Blanchisserie-teinturerie de détail,"EURL, entreprise unipersonnelle à responsabilité limitée",2020-02-01,False,,72 RUE CLAUDE BERNARD,,75005,PARIS,48.84046599980184,2.3458670000027086,WET CLEAN,EURL AQUA CLEAN,88135177900015,0,3,False,,MIXTE,A4_reclass
801528225,QUATORZE40,QUATORZE40,Blanchisserie-teinturerie de détail,96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",2014-04-07,False,,142 AVENUE DE VERSAILLES,,75016,PARIS,48.841685999801854,2.266528000003037,LEALY PRESSING,,80152822500056,4,5,False,,PRESSING,A4_reclass
830390019,ENSEL,ENSEL,"Exploitation de toutes activités de tous commerces de pressing, teinturerie, retoucherie, cordonnerie et ventes de petits textiles divers",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2017-06-20,False,,16 RUE GAMBETTA,,92600,ASNIERES-SUR-SEINE,48.91010699980182,2.292514000002933,PRESSING GAMBETTA,,83039001900016,1,1,False,,PRESSING,A4_reclass
533164844,N & A,N & A,"Pressing, teinturerie, nettoyage à sec, rapassage, retouches.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2011-06-22,False,,152 RUE DE LA CONVENTION,,75015,PARIS,48.83911799980185,2.2920040000029305,,,53316484400011,1,1,False,,PRESSING,A4_reclass
538678871,SARL NATHAN,SARL NATHAN,"Pressing, blanchisserie, repassage.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2011-12-13,False,,40 RUE PERGOLESE,,75016,PARIS,48.87431799980183,2.2826030000029722,,,53867887100012,1,1,False,,PRESSING,A4_reclass
809129620,W&P,W&P,Teinturerie nettoyage et apprêts de tous vêtements stoppage remaillage repassage pressing et faux-cols laverie (y compris Lavomatique en libre service) retouche,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2015-01-07,False,,8 RUE MAUBLANC,,75015,PARIS,48.840030999801854,2.2997230000028996,LA TEINTURERIE MAUBLANC,LA TEINTURERIE MAUBLANC,80912962000013,1,1,False,,MIXTE,A4_reclass
834043069,SPONTINI SERVICES,SPONTINI SERVICES,"Pressing, prestation de services aux entreprises et aux particuliers et sous-traitance en tous genres liés à la retoucherie et aux pressings. Négoce de Prêt-à-porter et de produits en tous genres non réglementés. Vente à emporter d'alcool.",96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",2017-11-14,False,,98 BOULEVARD DU MONTPARNASSE,,75014,PARIS,48.84243999980186,2.327646000002784,,,83404306900022,2,3,False,Liquidation judiciaire,PRESSING,A4_reclass
532222262,DDH,DDH,"Pressing, laverie, import-export de tous produits non règlementés, vente à distance tous produits non règlementés par internet.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2011-05-10,False,,31 RUE GUERSANT,,75017,PARIS,48.881571999801835,2.289034000002946,TIP PRESSING,DDH,53222226200026,1,2,False,,MIXTE,A4_reclass
572203628,SAPAM APPLICATION PROCEDE AUTOMATIQ,SAPAM APPLICATION PROCEDE AUTOMATIQ,BLANCHISSERIE NETTOYAGE REPASSAGE,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1957-01-01,False,,39 BOULEVARD HENRI IV,,75004,PARIS,48.852516999801864,2.366474000002623,PRESSING HENRI VI,PRESSING HENI IV,57220362800027,1,1,False,,PRESSING,A4_reclass
479203820,SOCIETE ANNA,SOCIETE ANNA,PRESSING BLANCHISSERIE TEINTURERIE RETOUCHES,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2004-10-01,False,,216 RUE DU CHATEAU DES RENTIERS,,75013,PARIS,48.83173499980182,2.3604700000026466,,,47920382000010,3,3,False,,PRESSING,A4_reclass
